totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
390000;314;12650;11965;9896;2022-04-22T04:28:44.487;
391000;337;12893;12229;9374;2022-04-22T04:31:05.246;
392000;369;13023;12392;9483;2022-04-22T04:33:27.704;
393000;321;12496;11817;10485;2022-04-22T04:35:44.482;
394000;313;12419;11732;10083;2022-04-22T04:38:00.045;
395000;331;12293;11624;10410;2022-04-22T04:40:14.248;
396000;334;12690;12025;10319;2022-04-22T04:42:33.169;
397000;304;12348;11651;11159;2022-04-22T04:44:48.422;
398000;330;12677;12007;10494;2022-04-22T04:47:05.290;
399000;313;12468;11782;10083;2022-04-22T04:49:20.320;
400000;348;12868;12215;9584;2022-04-22T04:51:39.969;
401000;334;12664;11998;10540;2022-04-22T04:53:57.333;
402000;326;12737;12063;10539;2022-04-22T04:56:15.891;
403000;335;12877;12212;9807;2022-04-22T04:58:38.447;
404000;345;12439;11784;10202;2022-04-22T05:00:52.504;
405000;362;12730;12093;9986;2022-04-22T05:03:10.953;
406000;313;12230;11542;11064;2022-04-22T05:05:23.202;
407000;331;12690;12022;10027;2022-04-22T05:07:41.770;
408000;334;12970;12303;10196;2022-04-22T05:10:04.451;
409000;309;12740;12050;10906;2022-04-22T05:12:23.090;
410000;311;12466;11776;10279;2022-04-22T05:14:39.371;
411000;299;12008;11307;11252;2022-04-22T05:16:50.989;
412000;330;12464;11794;9912;2022-04-22T05:19:06.351;
413000;331;12511;11842;10249;2022-04-22T05:21:21.824;
414000;326;12562;11889;10155;2022-04-22T05:23:39.266;
415000;351;12663;12014;9761;2022-04-22T05:25:56.823;
416000;330;12766;12095;9938;2022-04-22T05:28:16.254;
417000;325;12690;12016;10165;2022-04-22T05:30:35.091;
418000;356;13001;12357;9748;2022-04-22T05:32:56.844;
419000;336;12344;11680;10551;2022-04-22T05:35:10.730;
420000;322;12239;11560;10313;2022-04-22T05:37:23.827;
421000;315;12025;11340;11097;2022-04-22T05:39:34.429;
422000;325;12789;12115;9862;2022-04-22T05:41:53.953;
